Simplified	Pinyin	english
迟到	chídào	arrive late
除了	chúle	besides; except for; aside from; in addition to
船	chuán	a boat; vessel; ship
春	chūn	spring (season); joyful
词典	cídiǎn	dictionary
聪明	cōngming	intelligent; clever; bright; smart
打扫	dǎsǎo	to clean; to sweep
打算	dǎsuàn	to plan; intend
带	dài	band; belt; ribbon; carry; bring; take along; bring up (kids)
担心	dānxīn	to worry; feel anxious
蛋糕	dàngāo	cake
当然	dāngrán	of course; naturally
地	dì, de	earth; ground | (adverbial particle)
灯	dēng	lamp; light
地方	dìfang	place; space; room; part, (fāng: local; regional)
地铁	dìtiě	subway
地图	dìtú	map
电梯	diàntī	elevator
电子邮件	diànzǐ yóujiàn	email
东	dōng	East
冬	dōng	winter
动物	dòngwù	animal
短	duǎn	short (in length, duration, or height); lack
段	duàn	paragraph; segment; section
锻炼	duànliàn	to exercise; work out; toughen; to temper
多么	duōme	how (wonderful, etc.); what (a great idea)
饿	è	hungry
耳朵	ěrduo	ear
发	fā, fà	send out; to issue; to show (one's feelings) | hair
发烧	fāshāo	have a fever
发现	fāxiàn	discover; to find
方便	fāngbiàn	convenient
放	fàng	put; to place; to release; to free
放心	fàngxīn	relax; feel relieved; rest assured
分	fēn, fèn	divide; part; minute; cent | component; share; ingredient
附近	fùjìn	(in the) vicinity; nearby; neighboring
复习	fùxí	revise; to review
干净	gānjìng	clean; neat and tidy
感冒	gǎnmào	catch cold; (common) cold
感兴趣	gǎn xìngqù	be interested in
刚才	gāngcái	just now; a moment ago
个子	gèzi	height; stature; build
根据	gēnjù	according to; based on; basis
跟	gēn	to follow; go with; heel
更	gèng	more; even more
公斤	gōngjīn	kilogram
公园	gōngyuán	public park
故事	gùshi	story; tale
刮风	guāfēng	windy; to blow (wind)
关	guān	to close; shut; concern; relationship; turn off; mountain pass
关系	guānxi	relation; to concern
关心	guānxīn	concerned about/with
关于	guānyú	about; regarding; concerning
国家	guójiā	country; state; nation
过	guò	to pass; to cross; go over; (indicates a past experience)
过去	guòqù	in the past; formerly
还是	háishi	or; still; nevertheless; had better
害怕	hàipà	afraid of; to fear
黑板	hēibǎn	blackboard
后来	hòulái	afterwards; after; later
护照	hùzhào	passport
花	huā	flower; blossom; spend money; cost
画	huà	draw; picture; painting
坏	huài	bad; broken
欢迎	huānyíng	to welcome; greet
还	hái	still; yet; in addition; even
环境	huánjìng	environment; surroundings
换	huàn	change; to exchange; to barter; to trade
黄河	huánghé	Yellow River
回答	huídá	to reply; to answer
会议	huìyì	meeting; conference
或者	huòzhě	or; possible; maybe; perhaps
几乎	jīhū	almost
机会	jīhuì	opportunity; chance; occasion
极	jí	an extreme; pole; very
记得	jìde	remember
季节	jìjié	season; time; period
检查	jiǎnchá	to check; examine; inspect
简单	jiǎndān	simple; not complicated
见面	jiànmiàn	meet/see somebody; meeting
健康	jiànkāng	health; healthy
讲	jiǎng	to talk; to lecture; to explain; a speech
教	jiāo, jiào	teach; instruct | religion; teaching
角	jiǎo, jué	horn; angle; unit of money (1/10 yuan); corner (Kangxi radical 148) | role (theater)
脚	jiǎo	foot (body part)
接	jiē	connect; to meet; to pick up (somebody); to receive
街道	jiēdào	street
节目	jiémù	program; item (on a program)
节日	jiérì	holiday; festival
结婚	jiéhūn	get married
结束	jiéshù	to end; to finish; conclude
解决	jiějué	settle (a dispute); resolve; solve
借	jiè	lend; borrow; excuse
经常	jīngcháng	often; frequently; daily
经过	jīngguò	to pass; go through; as a result of
经理	jīnglǐ	manager; director
久	jiǔ	long (time)
旧	jiù	old; past; used
句子	jùzi	sentence
决定	juédìng	decide; resolve
可爱	kě'ài	cute; lovely
渴	kě	thirsty
刻	kè	quarter (hour); (mw for short time intervals); carve; to cut
客人	kèrén	guest; customer
空调	kōngtiáo	air conditioning
口	kǒu	mouth (Kangxi radical 30)
哭	kū	cry; weep
裤子	kùzi	pants; trousers
筷子	kuàizi	chopsticks
蓝	lán	blue
老	lǎo	old; aged; tough; often (Kangxi radical 125)
离开	líkāi	leave; depart
礼物	lǐwù	gift; present
历史	lìshǐ	history
脸	liǎn	face
练习	liànxí	practice; exercise
辆	liàng	(mw for vehicles)
聊天	liáotiān	to chat
了解	liǎojiě	comprehend; understand; know; find out
邻居	línjū	neighbor
留学	liúxué	study abroad
楼	lóu	story; floor; (multi-story) building
绿	lǜ	green
马	mǎ	horse (Kangxi radical 187)
马上	mǎshàng	at once; immediately; right away
满意	mǎnyì	satisfied; pleased
帽子	màozi	hat; cap
米	mǐ	rice; meter (Kangxi radical 119)
面包	miànbāo	bread
明白	míngbai	clear; obvious; understand; explicit
拿	ná	carry in your hand; seize; to catch
奶奶	nǎinai	grandma; (informal) paternal grandmother
南	nán	South
难	nán	difficult
难过	nánguò	be grieved; be sad; have a hard time
年级	niánjí	grade; year (in school)
年轻	niánqīng	young
鸟	niǎo	bird (Kangxi radical 196)
努力	nǔlì	to work hard; to strive
爬山	páshān	mountain climbing
盘子	pánzi	plate; dish; tray
胖	pàng	fat; plump
皮鞋	píxié	leather shoes
啤酒	píjiǔ	beer
瓶子	píngzi	bottle
其实	qíshí	actually; in fact
其他	qítā	other; else
奇怪	qíguài	strange; odd
骑	qí	to ride (an animal or bike); to sit astride
起飞	qǐfēi	take off (in an airplane); liftoff
起来	qǐlai	(beginning or continuing an action); to rise; get up (from bed)
清楚	qīngchu	clear; distinct; be clear about
请假	qǐngjià	to ask for time off
秋	qiū	autumn; fall; harvest time
裙子	qúnzi	skirt
然后	ránhòu	then; afterwards
热情	rèqíng	cordial; warm; enthusiastic
认为	rènwéi	believe; think that
认真	rènzhēn	serious; earnest; take seriously
容易	róngyì	easy; likely; liable (to)
如果	rúguǒ	if; in the event that
伞	sǎn	umbrella; parasol
上网	shàngwǎng	to surf the web; to go online
生气	shēngqì	angry; mad
声音	shēngyīn	sound; voice
世界	shìjiè	world
试	shì	to try; to test; examination
瘦	shòu	thin; tight; lean
叔叔	shūshu	(informal) father's younger brother; uncle
舒服	shūfu	comfortable; feeling well
树	shù	tree
数学	shùxué	mathematics
刷牙	shuāyá	brush one's teeth
双	shuāng	two; double; (mw for pairs)
水平	shuǐpíng	level; standard; horizontal
司机	sījī	driver; chauffeur
太阳	tàiyáng	the sun
特别	tèbié	special; especially; particular
疼	téng	ache; sore; (it) hurts; love fondly
提高	tígāo	to raise; heighten; improve
体育	tǐyù	physical training; sports
甜	tián	sweet
条	tiáo	strip; (mw for long thin objects); item
同事	tóngshì	colleague; co-worker
同意	tóngyì	agree; to consent; approve
头发	tóufa	hair (on the head)
突然	tūrán	sudden; abrupt
图书馆	túshūguǎn	library
腿	tuǐ	leg
完成	wánchéng	to complete; accomplish; to fulfill
碗	wǎn	bowl; cup
万	wàn	ten thousand
忘记	wàngjì	forget
为	wèi	for; because of; to; for the sake of
为了	wèile	in order to; for the sake of; for the purpose of
位	wèi	position; location; (polite mw for people)
文化	wénhuà	culture; civilization
西	xī	West (Kangxi radical 146)
习惯	xíguàn	habit; be accustomed to; usual practice
洗手间	xǐshǒujiān	toilet; lavatory; washroom
洗澡	xǐzǎo	bathe; take a bath or shower; bath or shower
夏	xià	summer
先	xiān	first; early; before
相信	xiāngxìn	believe (sb.); be convinced of
香蕉	xiāngjiāo	banana
向	xiàng	direction; towards; to turn; to face
像	xiàng	be like; resemble; appearance; appear
小心	xiǎoxīn	be careful
校长	xiàozhǎng	principal (of school, college or university); president; headmaster
新闻	xīnwén	news
新鲜	xīnxiān	fresh (experience, food, etc.); new; novel
信用卡	xìnyòngkǎ	credit card
行李箱	xínglǐxiāng	trunk; suitcase
熊猫	xióngmāo	panda
需要	xūyào	to need; to want; to demand
选择	xuǎnzé	select; to pick; choose
要求	yāoqiú	to request; to demand; requirement
爷爷	yéye	(informal) father's father; paternal grandfather
一般	yìbān	general; ordinary; common; same
一边	yìbiān	one side; on the one hand; at the same time
一定	yídìng	surely; certainly; necessarily; definite
一共	yígòng	altogether; in total
一会儿	yíhuìr	a while; a moment
一样	yíyàng	the same; alike; equal to
一直	yìzhí	always; all along; straight (in a straight line)
以前	yǐqián	before; formerly; previous
音乐	yīnyuè	music
银行	yínháng	bank
饮料	yǐnliào	beverage; drink
应该	yīnggāi	should; ought to; must
影响	yǐngxiǎng	influence; affect; effect
用	yòng	to use (Kangxi radical 101)
游戏	yóuxì	game; play; recreation
有名	yǒumíng	famous; well-known
又	yòu	(once) again; also; both (Kangxi radical 29)
遇到	yùdào	to meet; run into; come across
元	yuán	Chinese monetary unit; dollar; first; principal
愿意	yuànyì	be willing; want to; be ready
月亮	yuèliang	the moon
越	yuè	even more; the more; exceed
站	zhàn	stand; a station; be on one's feet; service center
张	zhāng	(mw for flat objects); to spread out; (common surname)
长	cháng, zhǎng	long; length | grow; chief (Kangxi radical 168)
着急	zháojí	to worry; feel anxious
照顾	zhàogu	take care of; look after; give consideration
照片	zhàopiàn	picture; photograph
照相机	zhàoxiàngjī	camera
只	zhī, zhǐ	but; only; merely; just | (mw for birds and certain animals)
只有	zhǐyǒu	only
才	cái	ability; talent; just now; not until
中间	zhōngjiān	center; middle; between; among
中文	Zhōngwén	Chinese (language)
终于	zhōngyú	at last; in the end; finally
种	zhǒng	type; breed; race; seed
重要	zhòngyào	important; significant; major
周末	zhōumò	weekend
主要	zhǔyào	main; principal; major
注意	zhùyì	pay attention to; take notice of; be careful
自己	zìjǐ	oneself; self
自行车	zìxíngchē	bike; bicycle
总是	zǒngshì	always; eventually
嘴	zuǐ	mouth
最后	zuìhòu	last; final; ultimately
最近	zuìjìn	recently; lately; these days
作业	zuòyè	school assignment; homework; task
﻿爱情	àiqíng	(romantic) love
安排	ānpái	arrange; to plan
安全	ānquán	safe; safety; secure; security
按时	ànshí	on time; on schedule
按照	ànzhào	according to; in accordance with; in light of
百分之	bǎifēnzhī	percent
棒	bàng	stick; club; good; excellent
包子	bāozi	steamed stuffed bun
保护	bǎohù	to protect; to defend
保证	bǎozhèng	to guarantee; ensure
报名	bào míng	sign up; apply
抱	bào	to hold; to hug; carry in one's arms; to cradle
抱歉	bàoqiàn	be sorry; feel apologetic; to regret
倍	bèi	(two, three, etc)-fold; times (multiplier)
本来	běnlái	originally; at first
笨	bèn	stupid; foolish; silly; dumb; clumsy
比如	bǐrú	for example; for instance; such as
毕业	bì yè	to graduate; to finish school
遍	biàn	a time; everywhere; turn; (mw for times or turns)
标准	biāozhǔn	(an official) standard; norm; criterion
表格	biǎogé	form (document)
表示	biǎoshì	express; show; indicate
表演	biǎoyǎn	perform; to play
表扬	biǎoyáng	to praise; commend
饼干	bǐnggān	biscuit; cracker; cookie
并且	bìngqiě	and; besides; moreover
博士	bóshì	doctor; PhD
不得不	bù dé bù	have to; have no choice but to; cannot but
不管	bùguǎn	no matter (what, how, etc.); regardless of
不过	búguò	only; merely; but; however
不仅	bùjǐn	not only; not just
部分	bùfen	part; share; section
擦	cā	to wipe; to rub; to polish
猜	cāi	to guess
材料	cáiliào	material
参观	cānguān	to visit (a place, such as a tourist spot); inspect
餐厅	cāntīng	dining hall; cafeteria; restaurant
厕所	cèsuǒ	bathroom; toilet; lavatory
差不多	chàbuduō	almost; about the same
长城	chángchéng	the Great Wall
长江	Chángjiāng	the Yangtze River; the Changjiang River
尝	cháng	to taste; flavor; (past tense marker)
场	chǎng	courtyard; place; field; (mw for games, performances, etc.)
超过	chāoguò	surpass; exceed; outstrip
成功	chénggōng	success; to succeed
成为	chéngwéi	become; turn into
诚实	chéngshí	honest; honorable
乘坐	chéngzuò	ride; get into (a vehicle)
吃惊	chī jīng	be startled; be shocked; be amazed
重新	chóngxīn	again; anew; once more
抽烟	chōuyān	to smoke (a cigarette, pipe, etc.)
出差	chū chāi	go on a business trip
出发	chūfā	start out; set off
出生	chūshēng	be born
出现	chūxiàn	appear; arise; emerge
厨房	chúfáng	kitchen
传真	chuánzhēn	fax; facsimile
窗户	chuānghu	window
词语	cíyǔ	words and expressions; terms
从来	cónglái	always; at all times
粗心	cūxīn	careless; inadvertent; negligent
存	cún	exist; to deposit; to store
错误	cuòwù	error; mistake; mistaken
答案	dá'àn	answer; solution
打扮	dǎban	dress up; put on make up
打扰	dǎrǎo	disturb
打印	dǎyìn	to print
打招呼	dǎzhāohu	notify; greet; inform
打折	dǎzhé	sell at a discount
打针	dǎzhēn	inject; get a shot
大概	dàgài	probably; roughly; approximate
大使馆	dàshǐguǎn	embassy
大约	dàyuē	approximately; about
大夫	dàifu	doctor; physician
戴	dài	put on; to wear; to respect
当	dāng	should; act as; work as; manage; match; (sound of bells)
当时	dāngshí	then; at that time; while
刀	dāo	knife; blade (Kangxi radical 18)
导游	dǎoyóu	tour guide
到处	dàochù	everywhere; in all places; all over
到底	dào dǐ	after all; in the end (used in a question)
倒	dǎo, dào	to collapse; to fall; fail; to exchange | to pour; contrary to expectations
道歉	dàoqiàn	apologize; make an apology
得意	déyì	proud of oneself; complacent
得	de	(complement particle)
登机牌	dēngjīpái	boarding pass
等	děng	to wait; rank; equal; etc.
低	dī	low; to lower (one's head); droop
底	dǐ	bottom; background; base
地点	dìdiǎn	place; site; location
地球	dìqiú	the Earth; planet
地址	dìzhǐ	address
调查	diàochá	investigate; survey; inquiry
掉	diào	to drop; to fall
丢	diū	lose (something); throw; put aside
动作	dòngzuò	movement; motion; action
堵车	dǔchē	traffic jam
肚子	dùzi	belly; abdomen; stomach
短信	duǎnxìn	text message; SMS
对话	duìhuà	dialogue; conversation
对面	duìmiàn	opposite; across from; the other side
对于	duìyú	regarding; as far as sth. is concerned; with regards to; for
儿童	értóng	child; children
而	ér	and; but; yet; while (Kangxi radical 126)
发生	fāshēng	happen; occur; take place
发展	fāzhǎn	develop; development; growth
法律	fǎlǜ	law; statute
翻译	fānyì	translate; translation; interpret
烦恼	fánnǎo	worried; vexed
反对	fǎnduì	oppose; fight against
方法	fāngfǎ	method; way; means
方面	fāngmiàn	aspect; field; side
方向	fāngxiàng	direction; orientation
房东	fángdōng	landlord
放弃	fàngqì	abandon; renounce; give up
放暑假	fàng shǔjià	have summer vacation
放松	fàngsōng	relax; loosen; slacken
份	fèn	part; portion; (mw for documents, papers, jobs, etc.)
丰富	fēngfù	rich; enrich; abundant; plentiful
否则	fǒuzé	if not; otherwise; or else
符合	fúhé	in keeping with; in accordance with; conform
父亲	fùqin	father
付款	fù kuǎn	to pay
负责	fùzé	responsible for (something); in charge of
复印	fùyìn	photocopy; duplicate
复杂	fùzá	complicated; complex
富	fù	wealthy
改变	gǎibiàn	to change; alter; to transform
干杯	gān bēi	to drink a toast; cheers!; bottoms up!
赶	gǎn	catch up; overtake; drive away
敢	gǎn	to dare
感动	gǎndòng	be moved; to touch emotionally
感觉	gǎnjué	to feel; become aware of; feeling
感情	gǎnqíng	feeling; emotion; sensation
感谢	gǎnxiè	thank; be grateful
干	gān	to concern; shield; dry; clean (Kangxi radical 51)
刚	gāng	just (indicating the immediate past); recently; firm
高速公路	gāosù gōnglù	highway
胳膊	gēbo	arm
各	gè	each; every
工资	gōngzī	wages; pay; earnings; salary
公里	gōnglǐ	kilometer
功夫	gōngfu	kung fu; skill; art; labor
共同	gòngtóng	together; common; joint
购物	gòuwù	go shopping; buy goods
够	gòu	enough; to reach
估计	gūjì	appraise; estimate
鼓励	gǔlì	encourage; inspire
故意	gùyì	deliberately; intentional; on purpose
顾客	gùkè	customer; client
挂	guà	hang; put up; suspend
关键	guānjiàn	crucial; key; pivotal
观众	guānzhòng	spectator; audience
管理	guǎnlǐ	supervise; manage
光	guāng	light; ray; bright; only; merely; used up
广播	guǎngbō	broadcast; on the air
广告	guǎnggào	advertisement; a commercial
逛	guàng	to stroll; to visit; go window shopping
规定	guīdìng	regulation; stipulate; fix; set
国籍	guójí	nationality
国际	guójì	international
果汁	guǒzhī	fruit juice
过程	guòchéng	course of events; process
海洋	hǎiyáng	ocean
害羞	hài xiū	blush; shy
寒假	hánjià	winter vacation
汗	hàn	sweat; perspiration; Khan
航班	hángbān	scheduled flight; flight number
好处	hǎochu	benefit; advantage
好像	hǎoxiàng	as if; seem to be
号码	hàomǎ	number
合格	hégé	qualified; up to standard
合适	héshì	suitable; proper; appropriate
盒子	hézi	box
后悔	hòuhuǐ	to regret; repent
厚	hòu	thick (for flat things); generous
互联网	Hùliánwǎng	Internet
互相	hùxiāng	mutually; with each other
护士	hùshi	nurse
怀疑	huáiyí	doubt; to suspect; be skeptical
回忆	huíyì	to recall; recollect
活动	huódòng	activity; exercise; move about
活泼	huópo	lively; vivacious
火	huǒ	fire (Kangxi radical 86)
获得	huòdé	obtain; acquire; to gain
积极	jījí	active; positive; energetic
积累	jīlěi	accumulate; accumulation
基础	jīchǔ	base; foundation
激动	jīdòng	excite; agitate
及时	jíshí	timely; in time; promptly; without delay
即使	jíshǐ	even if; even though
计划	jìhuà	plan; project
记者	jìzhě	reporter; journalist
技术	jìshù	technology; technique; skill
既然	jìrán	since; given that; now that
继续	jìxù	to continue; to go on; to proceed
寄	jì	send by mail
加班	jiā bān	work overtime
